frame,zone,width_mm,slot_len_mm,dy
611,3,4.956,61.6,4
613,1,4.817,58.8,3
613,2,6.84,64.2,3
613,3,4.982,61.2,3
615,1,4.647,61.5,5
615,2,6.573,66.2,5
615,3,4.97,61.4,5
617,1,4.651,61.5,3
617,2,6.478,66.5,3
617,3,4.786,64.5,3
619,1,4.649,60.5,5
619,2,6.634,63.8,5
619,3,4.896,63.2,5
621,1,4.717,59.2,2
621,2,6.735,62.2,2
621,3,4.881,63.2,2
623,2,6.969,59.8,5
623,3,5.124,59.0,5
625,2,7.156,57.8,3
625,3,5.076,58.8,3
627,2,7.165,56.5,4
627,3,5.309,56.0,4
661,1,5.471,55.5,3
663,1,5.304,58.5,4
663,2,6.619,56.5,4
663,3,5.846,56.2,4
665,1,5.116,61.4,3
665,2,6.542,58.0,3
665,3,5.794,58.0,3
667,1,5.291,59.9,3
667,2,6.409,60.2,3
667,3,5.666,60.0,3
669,1,5.376,59.6,3
669,2,6.279,62.0,3
669,3,5.568,62.0,3
671,1,5.167,61.8,4
671,2,6.123,65.5,4
671,3,5.362,65.1,4
673,1,5.547,58.0,3
673,2,6.198,65.8,3
673,3,5.321,66.1,3
675,1,5.203,61.9,4
675,2,6.48,62.8,4
675,3,5.596,63.0,4
677,1,5.353,59.9,4
677,2,6.156,65.1,4
677,3,5.574,63.6,4
679,1,5.169,62.0,3
679,2,6.304,62.4,3
679,3,5.443,64.5,3
681,1,5.329,59.5,5
681,2,5.931,64.4,5
681,3,5.438,63.6,5
683,1,5.092,62.0,3
683,2,5.663,66.0,3
683,3,5.317,64.5,3
685,1,5.559,56.5,4
685,2,5.454,66.2,4
685,3,5.249,64.8,4
687,1,5.587,56.5,4
687,2,5.337,66.2,4
687,3,5.259,63.6,4
689,1,5.56,57.0,4
689,2,5.268,66.2,4
689,3,5.331,62.2,4
691,2,5.369,64.6,4
691,3,5.188,63.2,4
693,3,5.271,62.6,2
703,2,5.062,61.2,3
705,2,4.336,69.2,4
707,1,5.256,63.2,3
707,2,4.514,66.4,3
709,1,5.431,63.0,4
709,2,4.615,66.0,4
711,1,5.573,62.6,4
711,2,4.686,65.8,4
711,3,5.294,65.0,4
713,1,5.795,61.6,4
713,2,4.737,66.0,4
713,3,5.348,65.2,4
715,1,5.87,61.4,3
715,3,5.642,63.5,3
717,1,5.891,61.1,3
717,2,5.383,59.2,3
717,3,5.773,62.9,3
719,1,5.9,60.8,4
719,2,5.704,57.0,4
719,3,5.817,63.0,4
721,1,5.943,60.8,3
721,2,5.221,62.6,3
721,3,5.698,64.1,3
723,1,5.879,61.5,4
723,2,5.612,58.2,4
723,3,5.576,65.8,4
725,1,5.867,61.5,4
725,2,5.493,59.0,4
725,3,5.843,62.6,4
727,1,5.857,61.8,3
727,2,5.62,57.5,3
727,3,5.76,63.5,3
729,1,5.802,61.8,3
729,2,5.416,59.4,3
729,3,5.805,62.9,3
731,1,5.838,61.8,4
731,2,5.051,64.0,4
731,3,5.684,64.2,4
733,1,5.758,63.8,4
733,2,5.095,63.5,4
733,3,5.551,66.1,4
735,1,5.834,62.2,5
735,2,5.0,64.2,5
735,3,5.64,66.8,5
737,1,5.985,60.1,5
737,2,4.935,64.4,5
737,3,5.573,66.5,5
739,1,6.339,56.6,4
739,3,5.662,65.0,4
741,2,5.342,58.0,5
741,3,5.723,62.8,5
743,2,5.487,55.8,3
